,train,val,test
0,normal_145,test_018,normal_028
1,normal_083,normal_024,normal_067
2,normal_110,normal_001,test_007
3,normal_133,normal_074,normal_098
4,normal_093,test_015,test_095
5,normal_095,normal_146,test_096
6,normal_087,normal_051,normal_056
7,normal_013,test_034,normal_023
8,normal_101,normal_037,normal_129
9,normal_048,test_128,normal_125
10,normal_017,normal_004,normal_077
11,normal_057,normal_019,normal_068
12,normal_046,test_130,normal_036
13,normal_020,test_129,test_059
14,normal_092,normal_143,test_012
15,normal_111,test_083,normal_030
16,normal_137,normal_114,test_022
17,normal_060,normal_116,normal_064
18,normal_147,normal_006,normal_156
19,normal_007,normal_148,test_023
20,normal_096,normal_075,normal_042
21,normal_072,tumor_006,normal_123
22,normal_105,tumor_094,normal_099
23,normal_097,tumor_032,tumor_051
24,normal_009,tumor_038,tumor_110
25,normal_041,test_001,tumor_050
26,normal_002,tumor_085,test_121
27,normal_021,tumor_031,test_033
28,normal_058,tumor_018,tumor_077
29,normal_055,tumor_036,tumor_054
30,normal_106,tumor_102,tumor_063
31,normal_014,tumor_058,tumor_066
32,normal_035,tumor_072,tumor_070
33,normal_085,tumor_056,test_002
34,normal_155,test_051,tumor_048
35,normal_061,tumor_091,tumor_081
36,normal_012,tumor_057,test_074
37,normal_073,test_092,tumor_044
38,normal_135,,
39,normal_142,,
40,normal_090,,
41,normal_053,,
42,normal_152,,
43,normal_059,,
44,normal_078,,
45,normal_027,,
46,normal_109,,
47,normal_157,,
48,normal_018,,
49,normal_088,,
50,normal_100,,
51,normal_045,,
52,normal_121,,
53,normal_039,,
54,normal_103,,
55,normal_066,,
56,normal_112,,
57,normal_010,,
58,normal_113,,
59,test_003,,
60,test_005,,
61,test_006,,
62,test_017,,
63,normal_029,,
64,test_019,,
65,test_020,,
66,test_024,,
67,test_025,,
68,normal_124,,
69,test_028,,
70,test_031,,
71,test_032,,
72,test_035,,
73,test_036,,
74,test_037,,
75,normal_065,,
76,test_039,,
77,test_042,,
78,test_043,,
79,test_044,,
80,test_045,,
81,test_047,,
82,normal_150,,
83,test_050,,
84,test_053,,
85,test_054,,
86,test_055,,
87,test_056,,
88,test_057,,
89,test_058,,
90,test_060,,
91,normal_063,,
92,normal_080,,
93,test_062,,
94,test_063,,
95,test_067,,
96,test_072,,
97,normal_115,,
98,test_076,,
99,test_077,,
100,test_078,,
101,test_080,,
102,normal_026,,
103,test_085,,
104,test_086,,
105,test_087,,
106,test_088,,
107,test_089,,
108,test_091,,
109,normal_038,,
110,test_098,,
111,test_100,,
112,test_101,,
113,test_106,,
114,normal_136,,
115,test_107,,
116,test_109,,
117,test_112,,
118,test_115,,
119,test_118,,
120,test_119,,
121,test_120,,
122,test_123,,
123,test_124,,
124,test_125,,
125,test_126,,
126,test_127,,
127,normal_119,,
128,normal_016,,
129,normal_151,,
130,normal_025,,
131,normal_134,,
132,normal_047,,
133,normal_089,,
134,normal_130,,
135,normal_141,,
136,normal_081,,
137,normal_159,,
138,normal_127,,
139,normal_128,,
140,normal_050,,
141,normal_117,,
142,normal_160,,
143,normal_032,,
