,train,val,test
0,normal_145,normal_065,test_120
1,normal_083,normal_078,normal_114
2,normal_110,test_101,test_125
3,normal_133,normal_102,normal_025
4,normal_093,normal_152,normal_134
5,normal_095,test_015,normal_138
6,normal_013,normal_015,normal_046
7,normal_101,normal_037,test_085
8,normal_017,normal_109,test_062
9,normal_057,test_115,test_063
10,normal_020,normal_048,test_039
11,normal_098,normal_132,normal_060
12,normal_092,test_023,normal_034
13,normal_111,normal_160,normal_075
14,normal_137,test_018,normal_118
15,normal_006,test_043,test_080
16,normal_147,normal_103,test_020
17,normal_007,normal_066,test_032
18,normal_064,normal_002,test_107
19,normal_096,normal_087,normal_022
20,normal_156,normal_059,normal_047
21,normal_072,normal_070,normal_104
22,normal_105,normal_139,normal_071
23,normal_097,tumor_043,normal_052
24,normal_028,tumor_008,test_122
25,normal_009,test_052,test_064
26,normal_041,tumor_044,test_084
27,normal_021,tumor_002,tumor_103
28,normal_058,tumor_104,tumor_025
29,normal_055,test_117,tumor_078
30,normal_106,tumor_100,test_121
31,normal_014,test_011,tumor_061
32,normal_035,tumor_090,test_113
33,normal_085,tumor_022,test_099
34,normal_155,test_033,tumor_004
35,normal_061,test_102,tumor_088
36,normal_012,tumor_048,tumor_005
37,normal_073,tumor_054,tumor_028
38,normal_135,,tumor_098
39,normal_142,,tumor_108
40,normal_090,,
41,normal_023,,
42,normal_053,,
43,normal_148,,
44,normal_027,,
45,normal_157,,
46,normal_018,,
47,normal_056,,
48,normal_088,,
49,normal_100,,
50,normal_045,,
51,normal_121,,
52,normal_125,,
53,normal_077,,
54,normal_039,,
55,normal_112,,
56,normal_010,,
57,normal_113,,
58,test_003,,
59,normal_123,,
60,test_005,,
61,test_006,,
62,test_007,,
63,test_012,,
64,test_017,,
65,normal_029,,
66,test_019,,
67,test_022,,
68,test_024,,
69,test_025,,
70,normal_124,,
71,test_028,,
72,test_031,,
73,test_034,,
74,test_035,,
75,test_036,,
76,test_037,,
77,test_042,,
78,test_044,,
79,test_045,,
80,test_047,,
81,normal_150,,
82,test_050,,
83,test_053,,
84,test_054,,
85,test_055,,
86,test_056,,
87,test_057,,
88,test_058,,
89,test_059,,
90,test_060,,
91,normal_063,,
92,normal_080,,
93,test_067,,
94,test_072,,
95,normal_115,,
96,test_076,,
97,test_077,,
98,test_078,,
99,test_083,,
100,normal_026,,
101,test_086,,
102,test_087,,
103,test_088,,
104,test_089,,
105,test_091,,
106,normal_038,,
107,test_095,,
108,test_096,,
109,test_098,,
110,test_100,,
111,test_106,,
112,normal_136,,
113,test_109,,
114,test_112,,
115,normal_030,,
116,test_118,,
117,test_119,,
118,test_123,,
119,test_124,,
120,test_126,,
121,test_127,,
122,test_128,,
123,normal_119,,
124,test_129,,
125,test_130,,
126,normal_016,,
127,normal_151,,
128,normal_089,,
129,normal_074,,
130,normal_130,,
131,normal_141,,
132,normal_081,,
133,normal_159,,
134,normal_127,,
135,normal_128,,
136,normal_001,,
137,normal_050,,
138,normal_117,,
139,normal_032,,
140,normal_031,,
141,normal_043,,
142,normal_149,,
143,normal_079,,
144,normal_108,,
145,normal_099,,
146,normal_076,,
147,normal_040,,
148,normal_082,,
149,normal_069,,
150,normal_036,,
151,normal_126,,
152,normal_068,,
153,normal_153,,
154,normal_049,,
155,normal_122,,
156,normal_120,,
157,normal_033,,
158,normal_005,,
159,normal_084,,
160,normal_024,,
161,normal_146,,
162,normal_004,,
163,normal_019,,
164,normal_158,,
165,normal_143,,
166,normal_067,,
