,train,val,test
0,normal_145,normal_009,normal_010
1,normal_083,normal_003,normal_113
2,normal_110,normal_089,test_060
3,normal_095,test_119,normal_051
4,normal_114,normal_146,test_085
5,normal_087,normal_116,normal_076
6,normal_013,test_088,normal_040
7,normal_101,normal_039,normal_044
8,normal_048,normal_094,normal_024
9,normal_017,test_095,normal_096
10,normal_057,test_096,test_087
11,normal_046,normal_085,test_123
12,normal_020,normal_118,test_124
13,normal_098,normal_119,test_043
14,normal_111,normal_041,normal_151
15,normal_137,normal_159,normal_092
16,normal_060,test_120,normal_093
17,normal_006,normal_131,normal_034
18,normal_147,normal_080,normal_125
19,normal_007,normal_079,normal_077
20,normal_064,normal_127,normal_019
21,normal_072,test_107,normal_156
22,normal_105,tumor_068,test_053
23,normal_097,tumor_107,normal_133
24,normal_028,tumor_044,normal_069
25,normal_002,tumor_054,tumor_091
26,normal_021,tumor_109,test_097
27,normal_058,tumor_010,test_103
28,normal_055,tumor_098,test_104
29,normal_106,tumor_108,tumor_096
30,normal_014,test_066,tumor_015
31,normal_035,test_009,test_070
32,normal_155,test_010,test_071
33,normal_061,tumor_007,tumor_009
34,normal_012,tumor_066,tumor_028
35,normal_073,tumor_033,tumor_013
36,normal_135,tumor_062,tumor_092
37,normal_142,tumor_095,tumor_077
38,normal_090,tumor_073,test_001
39,normal_023,,tumor_079
40,normal_053,,tumor_058
41,normal_152,,test_016
42,normal_148,,tumor_065
43,normal_059,,
44,normal_078,,
45,normal_027,,
46,normal_109,,
47,normal_157,,
48,normal_018,,
49,normal_056,,
50,normal_088,,
51,normal_100,,
52,normal_045,,
53,normal_121,,
54,normal_103,,
55,normal_066,,
56,normal_112,,
57,test_003,,
58,normal_123,,
59,test_005,,
60,test_006,,
61,test_007,,
62,test_012,,
63,test_015,,
64,test_017,,
65,normal_029,,
66,test_018,,
67,test_019,,
68,test_020,,
69,test_022,,
70,test_023,,
71,test_024,,
72,test_025,,
73,normal_124,,
74,test_028,,
75,test_031,,
76,test_032,,
77,test_034,,
78,test_035,,
79,test_036,,
80,test_037,,
81,normal_065,,
82,test_039,,
83,test_042,,
84,test_044,,
85,test_045,,
86,test_047,,
87,normal_150,,
88,test_050,,
89,test_054,,
90,test_055,,
91,test_056,,
92,test_057,,
93,test_058,,
94,test_059,,
95,normal_063,,
96,test_062,,
97,test_063,,
98,test_067,,
99,test_072,,
100,normal_115,,
101,test_076,,
102,test_077,,
103,test_078,,
104,test_080,,
105,test_083,,
106,normal_026,,
107,test_086,,
108,test_089,,
109,test_091,,
110,normal_038,,
111,test_098,,
112,test_100,,
113,test_101,,
114,test_106,,
115,normal_136,,
116,test_109,,
117,test_112,,
118,test_115,,
119,normal_030,,
120,test_118,,
121,test_125,,
122,test_126,,
123,test_127,,
124,test_128,,
125,test_129,,
126,test_130,,
127,normal_016,,
128,normal_025,,
129,normal_134,,
130,normal_047,,
131,normal_074,,
132,normal_130,,
133,normal_141,,
134,normal_081,,
135,normal_128,,
136,normal_001,,
137,normal_050,,
138,normal_117,,
139,normal_160,,
140,normal_032,,
141,normal_031,,
142,normal_043,,
143,normal_149,,
144,normal_108,,
145,normal_099,,
146,normal_082,,
